provincia_iso,sexo,grupo_edad,fecha,num_hosp,num_uci,num_def
B,H,60-69,2022-03-28,1,1,1
B,H,70-79,2022-03-28,4,0,0
B,H,80+,2022-03-28,9,0,0
B,H,NC,2022-03-28,0,0,0
B,M,0-9,2022-03-28,0,0,0
B,M,10-19,2022-03-28,0,0,0
B,M,20-29,2022-03-28,1,0,0
B,M,30-39,2022-03-28,0,0,0
B,M,40-49,2022-03-28,0,0,0
B,M,50-59,2022-03-28,1,0,0
B,M,60-69,2022-03-28,0,0,0
B,M,70-79,2022-03-28,4,0,0
B,M,80+,2022-03-28,8,0,2
B,M,NC,2022-03-28,0,0,0
B,NC,0-9,2022-03-28,0,0,0
B,NC,10-19,2022-03-28,0,0,0
B,NC,20-29,2022-03-28,0,0,0
B,NC,30-39,2022-03-28,0,0,0
B,NC,40-49,2022-03-28,0,0,0
B,NC,50-59,2022-03-28,0,0,0
B,NC,60-69,2022-03-28,0,0,0
B,NC,70-79,2022-03-28,0,0,0
B,NC,80+,2022-03-28,0,0,0
B,NC,NC,2022-03-28,0,0,0
BA,H,0-9,2022-03-28,0,0,0
BA,H,10-19,2022-03-28,0,0,0
BA,H,20-29,2022-03-28,0,0,0
BA,H,30-39,2022-03-28,0,0,0
BA,H,40-49,2022-03-28,0,0,0
BA,H,50-59,2022-03-28,1,0,0
BA,H,60-69,2022-03-28,0,0,0
BA,H,70-79,2022-03-28,0,0,0
BA,H,80+,2022-03-28,0,0,0
BA,H,NC,2022-03-28,0,0,0
BA,M,0-9,2022-03-28,0,0,0
BA,M,10-19,2022-03-28,0,0,0
BA,M,20-29,2022-03-28,0,0,0
BA,M,30-39,2022-03-28,0,0,0
BA,M,40-49,2022-03-28,0,0,0
BA,M,50-59,2022-03-28,1,0,0
BA,M,60-69,2022-03-28,3,0,0
BA,M,70-79,2022-03-28,1,0,0
BA,M,80+,2022-03-28,0,0,0
BA,M,NC,2022-03-28,0,0,0
BA,NC,0-9,2022-03-28,0,0,0
BA,NC,10-19,2022-03-28,0,0,0
BA,NC,20-29,2022-03-28,0,0,0
BA,NC,30-39,2022-03-28,0,0,0
BA,NC,40-49,2022-03-28,0,0,0
BA,NC,50-59,2022-03-28,0,0,0
BA,NC,60-69,2022-03-28,0,0,0
BA,NC,70-79,2022-03-28,0,0,0
BA,NC,80+,2022-03-28,0,0,0
BA,NC,NC,2022-03-28,0,0,0
BI,H,0-9,2022-03-28,0,0,0
BI,H,10-19,2022-03-28,0,0,0
BI,H,20-29,2022-03-28,0,0,0
BI,H,30-39,2022-03-28,0,0,0
BI,H,40-49,2022-03-28,0,0,0
BI,H,50-59,2022-03-28,1,0,0
BI,H,60-69,2022-03-28,1,0,0
BI,H,70-79,2022-03-28,2,0,0
BI,H,80+,2022-03-28,0,0,1
BI,H,NC,2022-03-28,0,0,0
BI,M,0-9,2022-03-28,0,0,0
BI,M,10-19,2022-03-28,0,0,0
BI,M,20-29,2022-03-28,0,0,0
BI,M,30-39,2022-03-28,0,0,0
BI,M,40-49,2022-03-28,0,0,0
BI,M,50-59,2022-03-28,0,0,0
BI,M,60-69,2022-03-28,0,0,0
BI,M,70-79,2022-03-28,1,0,0
BI,M,80+,2022-03-28,2,0,1
BI,M,NC,2022-03-28,0,0,0
BI,NC,0-9,2022-03-28,0,0,0
BI,NC,10-19,2022-03-28,0,0,0
BI,NC,20-29,2022-03-28,0,0,0
BI,NC,30-39,2022-03-28,0,0,0
BI,NC,40-49,2022-03-28,0,0,0
BI,NC,50-59,2022-03-28,0,0,0
BI,NC,60-69,2022-03-28,0,0,0
BI,NC,70-79,2022-03-28,0,0,0
BI,NC,80+,2022-03-28,0,0,0
BI,NC,NC,2022-03-28,0,0,0
BU,H,0-9,2022-03-28,0,0,0
BU,H,10-19,2022-03-28,0,0,0
BU,H,20-29,2022-03-28,0,0,0
BU,H,30-39,2022-03-28,1,0,0
BU,H,40-49,2022-03-28,0,0,0
BU,H,50-59,2022-03-28,0,0,0
BU,H,60-69,2022-03-28,0,0,0
BU,H,70-79,2022-03-28,1,0,0
BU,H,80+,2022-03-28,1,0,0
BU,H,NC,2022-03-28,0,0,0
BU,M,0-9,2022-03-28,0,0,0
BU,M,10-19,2022-03-28,0,0,0
BU,M,20-29,2022-03-28,0,0,0
BU,M,30-39,2022-03-28,0,0,0
BU,M,40-49,2022-03-28,0,0,0
BU,M,50-59,2022-03-28,0,0,0
BU,M,60-69,2022-03-28,1,1,0
BU,M,70-79,2022-03-28,0,0,0
BU,M,80+,2022-03-28,0,0,0
BU,M,NC,2022-03-28,0,0,0
BU,NC,0-9,2022-03-28,0,0,0
BU,NC,10-19,2022-03-28,0,0,0
BU,NC,20-29,2022-03-28,0,0,0
BU,NC,30-39,2022-03-28,0,0,0
BU,NC,40-49,2022-03-28,0,0,0
BU,NC,50-59,2022-03-28,0,0,0
BU,NC,60-69,2022-03-28,0,0,0
BU,NC,70-79,2022-03-28,0,0,0
BU,NC,80+,2022-03-28,0,0,0
BU,NC,NC,2022-03-28,0,0,0
C,H,0-9,2022-03-28,0,0,0
C,H,10-19,2022-03-28,0,0,0
C,H,20-29,2022-03-28,0,0,0
C,H,30-39,2022-03-28,0,0,0
C,H,40-49,2022-03-28,1,0,0
C,H,50-59,2022-03-28,1,0,0
C,H,60-69,2022-03-28,2,0,0
C,H,70-79,2022-03-28,3,0,0
C,H,80+,2022-03-28,1,0,0
C,H,NC,2022-03-28,0,0,0
C,M,0-9,2022-03-28,0,0,0
C,M,10-19,2022-03-28,0,0,0
C,M,20-29,2022-03-28,0,0,0
C,M,30-39,2022-03-28,2,0,0
C,M,40-49,2022-03-28,1,1,0
C,M,50-59,2022-03-28,1,0,0
C,M,60-69,2022-03-28,2,0,0
C,M,70-79,2022-03-28,2,0,0
C,M,80+,2022-03-28,4,0,0
C,M,NC,2022-03-28,0,0,0
C,NC,0-9,2022-03-28,0,0,0
C,NC,10-19,2022-03-28,0,0,0
C,NC,20-29,2022-03-28,0,0,0
C,NC,30-39,2022-03-28,0,0,0
C,NC,40-49,2022-03-28,0,0,0
C,NC,50-59,2022-03-28,0,0,0
C,NC,60-69,2022-03-28,0,0,0
C,NC,70-79,2022-03-28,0,0,0
C,NC,80+,2022-03-28,0,0,0
C,NC,NC,2022-03-28,0,0,0
CA,H,0-9,2022-03-28,1,0,0
CA,H,10-19,2022-03-28,0,0,0
CA,H,20-29,2022-03-28,0,0,0
CA,H,30-39,2022-03-28,0,0,0
CA,H,40-49,2022-03-28,1,0,0
CA,H,50-59,2022-03-28,0,0,0
CA,H,60-69,2022-03-28,1,0,0
CA,H,70-79,2022-03-28,2,0,0
CA,H,80+,2022-03-28,2,0,0
CA,H,NC,2022-03-28,0,0,0
CA,M,0-9,2022-03-28,0,0,0
CA,M,10-19,2022-03-28,0,0,0
CA,M,20-29,2022-03-28,0,0,0
CA,M,30-39,2022-03-28,1,0,0
CA,M,40-49,2022-03-28,0,0,0
CA,M,50-59,2022-03-28,0,0,0
CA,M,60-69,2022-03-28,0,0,0
CA,M,70-79,2022-03-28,1,0,0
CA,M,80+,2022-03-28,0,0,0
CA,M,NC,2022-03-28,0,0,0
CA,NC,0-9,2022-03-28,0,0,0
CA,NC,10-19,2022-03-28,0,0,0
CA,NC,20-29,2022-03-28,0,0,0
CA,NC,30-39,2022-03-28,0,0,0
CA,NC,40-49,2022-03-28,0,0,0
CA,NC,50-59,2022-03-28,0,0,0
CA,NC,60-69,2022-03-28,0,0,0
CA,NC,70-79,2022-03-28,0,0,0
CA,NC,80+,2022-03-28,0,0,0
CA,NC,NC,2022-03-28,0,0,0
CC,H,0-9,2022-03-28,0,0,0
CC,H,10-19,2022-03-28,0,0,0
CC,H,20-29,2022-03-28,0,0,0
CC,H,30-39,2022-03-28,0,0,0
CC,H,40-49,2022-03-28,0,0,0
CC,H,50-59,2022-03-28,0,0,0
CC,H,60-69,2022-03-28,0,0,0
CC,H,70-79,2022-03-28,0,0,0
CC,H,80+,2022-03-28,0,0,0
CC,H,NC,2022-03-28,0,0,0
CC,M,0-9,2022-03-28,0,0,0
CC,M,10-19,2022-03-28,0,0,0
CC,M,20-29,2022-03-28,0,0,0
CC,M,30-39,2022-03-28,0,0,0
CC,M,40-49,2022-03-28,0,0,0
CC,M,50-59,2022-03-28,0,0,0
CC,M,60-69,2022-03-28,0,0,0
CC,M,70-79,2022-03-28,0,0,0
CC,M,80+,2022-03-28,0,0,0
CC,M,NC,2022-03-28,0,0,0
CC,NC,0-9,2022-03-28,0,0,0
CC,NC,10-19,2022-03-28,0,0,0
CC,NC,20-29,2022-03-28,0,0,0
CC,NC,30-39,2022-03-28,0,0,0
CC,NC,40-49,2022-03-28,0,0,0
CC,NC,50-59,2022-03-28,0,0,0
CC,NC,60-69,2022-03-28,0,0,0
CC,NC,70-79,2022-03-28,0,0,0
CC,NC,80+,2022-03-28,0,0,0
CC,NC,NC,2022-03-28,0,0,0
CE,H,0-9,2022-03-28,0,0,0
CE,H,10-19,2022-03-28,0,0,0
CE,H,20-29,2022-03-28,0,0,0
CE,H,30-39,2022-03-28,0,0,0
CE,H,40-49,2022-03-28,0,0,0
CE,H,50-59,2022-03-28,0,0,0
CE,H,60-69,2022-03-28,0,0,0
CE,H,70-79,2022-03-28,0,0,0
CE,H,80+,2022-03-28,0,0,0
CE,H,NC,2022-03-28,0,0,0
CE,M,0-9,2022-03-28,0,0,0
CE,M,10-19,2022-03-28,0,0,0
CE,M,20-29,2022-03-28,0,0,0
CE,M,30-39,2022-03-28,0,0,0
CE,M,40-49,2022-03-28,0,0,0
CE,M,50-59,2022-03-28,0,0,0
CE,M,60-69,2022-03-28,0,0,0
CE,M,70-79,2022-03-28,0,0,0
CE,M,80+,2022-03-28,1,0,0
CE,M,NC,2022-03-28,0,0,0
CE,NC,0-9,2022-03-28,0,0,0
CE,NC,10-19,2022-03-28,0,0,0
CE,NC,20-29,2022-03-28,0,0,0
CE,NC,30-39,2022-03-28,0,0,0
CE,NC,40-49,2022-03-28,0,0,0
CE,NC,50-59,2022-03-28,0,0,0
CE,NC,60-69,2022-03-28,0,0,0
CE,NC,70-79,2022-03-28,0,0,0
CE,NC,80+,2022-03-28,0,0,0
CE,NC,NC,2022-03-28,0,0,0
CO,H,0-9,2022-03-28,0,0,0
CO,H,10-19,2022-03-28,0,0,0
CO,H,20-29,2022-03-28,0,0,0
CO,H,30-39,2022-03-28,0,0,0
CO,H,40-49,2022-03-28,0,0,0
CO,H,50-59,2022-03-28,0,0,0
CO,H,60-69,2022-03-28,2,0,0
CO,H,70-79,2022-03-28,3,0,0
CO,H,80+,2022-03-28,6,0,0
CO,H,NC,2022-03-28,0,0,0
CO,M,0-9,2022-03-28,0,0,0
CO,M,10-19,2022-03-28,0,0,0
CO,M,20-29,2022-03-28,0,0,0
CO,M,30-39,2022-03-28,0,0,0
CO,M,40-49,2022-03-28,0,0,0
CO,M,50-59,2022-03-28,0,0,0
CO,M,60-69,2022-03-28,2,0,0
CO,M,70-79,2022-03-28,2,0,0
CO,M,80+,2022-03-28,3,0,0
CO,M,NC,2022-03-28,0,0,0
CO,NC,0-9,2022-03-28,0,0,0
CO,NC,10-19,2022-03-28,0,0,0
CO,NC,20-29,2022-03-28,0,0,0
CO,NC,30-39,2022-03-28,0,0,0
CO,NC,40-49,2022-03-28,0,0,0
CO,NC,50-59,2022-03-28,0,0,0
CO,NC,60-69,2022-03-28,0,0,0
CO,NC,70-79,2022-03-28,0,0,0
CO,NC,80+,2022-03-28,0,0,0
CO,NC,NC,2022-03-28,0,0,0
CR,H,0-9,2022-03-28,0,0,0
CR,H,10-19,2022-03-28,0,0,0
CR,H,20-29,2022-03-28,0,0,0
CR,H,30-39,2022-03-28,0,0,0
CR,H,40-49,2022-03-28,0,0,0
CR,H,50-59,2022-03-28,0,0,0
CR,H,60-69,2022-03-28,0,0,0
CR,H,70-79,2022-03-28,0,0,1
CR,H,80+,2022-03-28,0,0,0
CR,H,NC,2022-03-28,0,0,0
CR,M,0-9,2022-03-28,0,0,0
CR,M,10-19,2022-03-28,0,0,0
CR,M,20-29,2022-03-28,0,0,0
CR,M,30-39,2022-03-28,0,0,0
CR,M,40-49,2022-03-28,0,0,0
CR,M,50-59,2022-03-28,0,0,0
CR,M,60-69,2022-03-28,0,0,0
CR,M,70-79,2022-03-28,1,0,0
CR,M,80+,2022-03-28,1,0,0
CR,M,NC,2022-03-28,0,0,0
CR,NC,0-9,2022-03-28,0,0,0
CR,NC,10-19,2022-03-28,0,0,0
CR,NC,20-29,2022-03-28,0,0,0
CR,NC,30-39,2022-03-28,0,0,0
CR,NC,40-49,2022-03-28,0,0,0
CR,NC,50-59,2022-03-28,0,0,0
CR,NC,60-69,2022-03-28,0,0,0
CR,NC,70-79,2022-03-28,0,0,0
CR,NC,80+,2022-03-28,0,0,0
CR,NC,NC,2022-03-28,0,0,0
CS,H,0-9,2022-03-28,0,0,0
CS,H,10-19,2022-03-28,0,0,0
CS,H,20-29,2022-03-28,0,0,0
CS,H,30-39,2022-03-28,0,0,0
CS,H,40-49,2022-03-28,0,0,0
CS,H,50-59,2022-03-28,0,0,0
CS,H,60-69,2022-03-28,0,0,0
CS,H,70-79,2022-03-28,1,0,0
CS,H,80+,2022-03-28,0,0,0
CS,H,NC,2022-03-28,0,0,0
CS,M,0-9,2022-03-28,0,0,0
CS,M,10-19,2022-03-28,0,0,0
CS,M,20-29,2022-03-28,0,0,0
CS,M,30-39,2022-03-28,0,0,0
CS,M,40-49,2022-03-28,0,0,0
CS,M,50-59,2022-03-28,0,0,0
CS,M,60-69,2022-03-28,1,0,0
CS,M,70-79,2022-03-28,1,0,0
CS,M,80+,2022-03-28,1,0,0
CS,M,NC,2022-03-28,0,0,0
CS,NC,0-9,2022-03-28,0,0,0
CS,NC,10-19,2022-03-28,0,0,0
CS,NC,20-29,2022-03-28,0,0,0
CS,NC,30-39,2022-03-28,0,0,0
CS,NC,40-49,2022-03-28,0,0,0
CS,NC,50-59,2022-03-28,0,0,0
CS,NC,60-69,2022-03-28,0,0,0
CS,NC,70-79,2022-03-28,0,0,0
CS,NC,80+,2022-03-28,0,0,0
CS,NC,NC,2022-03-28,0,0,0
CU,H,0-9,2022-03-28,0,0,0
CU,H,10-19,2022-03-28,0,0,0
CU,H,20-29,2022-03-28,0,0,0
CU,H,30-39,2022-03-28,0,0,0
CU,H,40-49,2022-03-28,0,0,0
CU,H,50-59,2022-03-28,0,0,0
CU,H,60-69,2022-03-28,0,0,0
CU,H,70-79,2022-03-28,0,0,0
CU,H,80+,2022-03-28,0,0,1
CU,H,NC,2022-03-28,0,0,0
CU,M,0-9,2022-03-28,0,0,0
CU,M,10-19,2022-03-28,0,0,0
CU,M,20-29,2022-03-28,0,0,0
CU,M,30-39,2022-03-28,0,0,0
CU,M,40-49,2022-03-28,0,0,0
CU,M,50-59,2022-03-28,0,0,0
CU,M,60-69,2022-03-28,0,0,0
CU,M,70-79,2022-03-28,2,0,0
CU,M,80+,2022-03-28,0,0,0
CU,M,NC,2022-03-28,0,0,0
CU,NC,0-9,2022-03-28,0,0,0
CU,NC,10-19,2022-03-28,0,0,0
CU,NC,20-29,2022-03-28,0,0,0
CU,NC,30-39,2022-03-28,0,0,0
CU,NC,40-49,2022-03-28,0,0,0
CU,NC,50-59,2022-03-28,0,0,0
CU,NC,60-69,2022-03-28,0,0,0
CU,NC,70-79,2022-03-28,0,0,0
CU,NC,80+,2022-03-28,0,0,0
CU,NC,NC,2022-03-28,0,0,0
GC,H,0-9,2022-03-28,1,0,0
GC,H,10-19,2022-03-28,0,0,0
GC,H,20-29,2022-03-28,0,0,0
GC,H,30-39,2022-03-28,0,0,0
GC,H,40-49,2022-03-28,0,0,0
GC,H,50-59,2022-03-28,0,0,1
GC,H,60-69,2022-03-28,1,0,1
GC,H,70-79,2022-03-28,0,1,0
GC,H,80+,2022-03-28,1,0,0
GC,H,NC,2022-03-28,0,0,0
GC,M,0-9,2022-03-28,0,0,0
GC,M,10-19,2022-03-28,0,0,0
GC,M,20-29,2022-03-28,0,0,0
GC,M,30-39,2022-03-28,0,0,0
GC,M,40-49,2022-03-28,0,0,0
GC,M,50-59,2022-03-28,0,0,0
GC,M,60-69,2022-03-28,0,0,0
GC,M,70-79,2022-03-28,1,0,0
GC,M,80+,2022-03-28,0,0,0
GC,M,NC,2022-03-28,0,0,0
GC,NC,0-9,2022-03-28,0,0,0
GC,NC,10-19,2022-03-28,0,0,0
GC,NC,20-29,2022-03-28,0,0,0
GC,NC,30-39,2022-03-28,0,0,0
GC,NC,40-49,2022-03-28,0,0,0
GC,NC,50-59,2022-03-28,0,0,0
GC,NC,60-69,2022-03-28,0,0,0
GC,NC,70-79,2022-03-28,0,0,0
GC,NC,80+,2022-03-28,0,0,0
GC,NC,NC,2022-03-28,0,0,0
GI,H,0-9,2022-03-28,0,0,0
GI,H,10-19,2022-03-28,0,0,0
GI,H,20-29,2022-03-28,0,0,0
GI,H,30-39,2022-03-28,0,0,0
GI,H,40-49,2022-03-28,0,0,0
GI,H,50-59,2022-03-28,0,0,0
GI,H,60-69,2022-03-28,0,0,0
GI,H,70-79,2022-03-28,0,0,0
GI,H,80+,2022-03-28,0,0,0
GI,H,NC,2022-03-28,0,0,0
GI,M,0-9,2022-03-28,0,0,0
GI,M,10-19,2022-03-28,0,0,0
GI,M,20-29,2022-03-28,0,0,0
GI,M,30-39,2022-03-28,0,0,0
GI,M,40-49,2022-03-28,0,0,0
GI,M,50-59,2022-03-28,0,0,0
GI,M,60-69,2022-03-28,0,0,0
GI,M,70-79,2022-03-28,0,0,0
GI,M,80+,2022-03-28,0,0,0
GI,M,NC,2022-03-28,0,0,0
GI,NC,0-9,2022-03-28,0,0,0
GI,NC,10-19,2022-03-28,0,0,0
GI,NC,20-29,2022-03-28,0,0,0
GI,NC,30-39,2022-03-28,0,0,0
GI,NC,40-49,2022-03-28,0,0,0
GI,NC,50-59,2022-03-28,0,0,0
GI,NC,60-69,2022-03-28,0,0,0
GI,NC,70-79,2022-03-28,0,0,0
GI,NC,80+,2022-03-28,0,0,0
GI,NC,NC,2022-03-28,0,0,0
GR,H,0-9,2022-03-28,0,0,0
GR,H,10-19,2022-03-28,0,0,0
GR,H,20-29,2022-03-28,0,0,0
GR,H,30-39,2022-03-28,0,0,0
GR,H,40-49,2022-03-28,0,0,0
GR,H,50-59,2022-03-28,0,0,0
GR,H,60-69,2022-03-28,0,0,0
GR,H,70-79,2022-03-28,0,0,0
GR,H,80+,2022-03-28,2,0,0
GR,H,NC,2022-03-28,0,0,0
GR,M,0-9,2022-03-28,0,0,0
GR,M,10-19,2022-03-28,0,0,0
GR,M,20-29,2022-03-28,0,0,0
GR,M,30-39,2022-03-28,0,0,0
GR,M,40-49,2022-03-28,1,0,0
GR,M,50-59,2022-03-28,0,0,0
GR,M,60-69,2022-03-28,1,0,0
GR,M,70-79,2022-03-28,0,0,1
GR,M,80+,2022-03-28,0,0,0
GR,M,NC,2022-03-28,0,0,0
GR,NC,0-9,2022-03-28,0,0,0
GR,NC,10-19,2022-03-28,0,0,0
GR,NC,20-29,2022-03-28,0,0,0
GR,NC,30-39,2022-03-28,0,0,0
GR,NC,40-49,2022-03-28,0,0,0
GR,NC,50-59,2022-03-28,0,0,0
GR,NC,60-69,2022-03-28,0,0,0
GR,NC,70-79,2022-03-28,0,0,0
GR,NC,80+,2022-03-28,0,0,0
GR,NC,NC,2022-03-28,0,0,0
GU,H,0-9,2022-03-28,0,0,0
GU,H,10-19,2022-03-28,0,0,0
GU,H,20-29,2022-03-28,0,0,0
GU,H,30-39,2022-03-28,0,0,0
GU,H,40-49,2022-03-28,0,0,0
GU,H,50-59,2022-03-28,0,0,0
GU,H,60-69,2022-03-28,0,0,0
GU,H,70-79,2022-03-28,0,0,0
GU,H,80+,2022-03-28,2,0,0
GU,H,NC,2022-03-28,0,0,0
GU,M,0-9,2022-03-28,0,0,0
GU,M,10-19,2022-03-28,1,0,0
GU,M,20-29,2022-03-28,0,0,0
GU,M,30-39,2022-03-28,0,0,0
GU,M,40-49,2022-03-28,0,0,0
GU,M,50-59,2022-03-28,0,0,0
GU,M,60-69,2022-03-28,0,0,0
GU,M,70-79,2022-03-28,0,0,0
GU,M,80+,2022-03-28,0,0,0
GU,M,NC,2022-03-28,0,0,0
GU,NC,0-9,2022-03-28,0,0,0
GU,NC,10-19,2022-03-28,0,0,0
GU,NC,20-29,2022-03-28,0,0,0
GU,NC,30-39,2022-03-28,0,0,0
GU,NC,40-49,2022-03-28,0,0,0
GU,NC,50-59,2022-03-28,0,0,0
GU,NC,60-69,2022-03-28,0,0,0
GU,NC,70-79,2022-03-28,0,0,0
GU,NC,80+,2022-03-28,0,0,0
GU,NC,NC,2022-03-28,0,0,0
H,H,0-9,2022-03-28,1,0,0
H,H,10-19,2022-03-28,0,0,0
H,H,20-29,2022-03-28,0,0,0
H,H,30-39,2022-03-28,0,0,0
H,H,40-49,2022-03-28,0,0,0
H,H,50-59,2022-03-28,0,0,0
H,H,60-69,2022-03-28,0,0,0
H,H,70-79,2022-03-28,2,0,0
H,H,80+,2022-03-28,1,0,0
H,H,NC,2022-03-28,0,0,0
H,M,0-9,2022-03-28,0,0,0
H,M,10-19,2022-03-28,0,0,0
H,M,20-29,2022-03-28,0,0,0
